Transaction report 2022

Date,Type,Label,Sending Wallet,Sent Amount,Sent Currency,Sent Cost Basis,Receiving Wallet,Received Amount,Received Currency,Received Cost Basis,Fee Amount,Fee Currency,Gain (USD),Net Value (USD),Fee Value (USD),TxSrc,TxDest,TxHash,Description
2016-08-29 10:32:39 UTC,crypto_deposit,"","","","","",Binance (Archived),0.00010412,BTC,0.0609811094,"","","",0.0609811094,"","","","",Long term BTC disposal from tax lot of 0.025611210000000 BTC acquired on 8/29/2016 2:32:39 PM via Buy.
2016-08-29 14:32:39 UTC,buy,"",Coinbase,14.78,USD,"",Coinbase,0.02561121,BTC,15.0,0.22,USD,"",14.78,0.22,"","",c6b17152-fd36-5ffa-a358-693754e99f20,""
2016-08-29 14:32:39 UTC,fiat_deposit,"","","","","",Coinbase,15.0,USD,"","","","",15.0,"",Wells Fargo - Checking ******2498,"","",Bought Bitcoin Using Wells Fargo - Checking ******2498
2016-08-30 21:06:45 UTC,buy,"",Coinbase,11.27,USD,"",Coinbase,1.0,ETH,11.44,0.17,USD,"",11.27,0.17,"","",64e32098-5797-5953-982a-4a2da60471d3,""
2016-08-30 21:06:45 UTC,fiat_deposit,"","","","","",Coinbase,11.44,USD,"","","","",11.44,"",Wells Fargo - Checking ******2498,"","",Bought Ethereum Using Wells Fargo - Checking ******2498
2016-08-30 22:02:37 UTC,crypto_withdrawal,"",Coinbase,0.0001,BTC,0.0585681036,"","","","","","",0.0014318964,0.06,"","",1PLuxJouUMUP7SjEYxJbXJQMkkG5qqparo,7775dd811388accbedf45b25a1e8d864f7da9d94725f5c1f2e9a5796a00e7211,first penny
2016-09-06 03:12:14 UTC,fiat_deposit,"","","","","",Coinbase,25.0,USD,"","","","",25.0,"",Wells Fargo - Checking ******2498,"","",Bought Ethereum Using Wells Fargo - Checking ******2498
2016-09-06 03:12:14 UTC,buy,"",Coinbase,24.63,USD,"",Coinbase,2.10003965,ETH,25.0,0.37,USD,"",24.63,0.37,"","",d7d27883-3090-547a-bb54-11e3a743c1ee,""
2017-01-18 14:56:55 UTC,fiat_deposit,"","","","","",Coinbase,10.35,USD,"","","","",10.35,"",Wells Fargo - Checking ******2498,"","",Bought Ethereum Using Wells Fargo - Checking ******2498
2017-01-18 14:56:55 UTC,buy,"",Coinbase,10.2,USD,"",Coinbase,1.00180485,ETH,10.35,0.15,USD,"",10.2,0.15,"","",233c9922-dd9a-59ce-a80d-1c9abfc06137,""
2017-01-18 21:32:51 UTC,sell,"",Coinbase,0.25,BTC,118.6003154208,Coinbase,217.9,USD,"",8.69,USD,90.6096845792,217.9,8.69,"","",4c8b2e5a-73e6-5228-bbed-e528dd2227b2,""
2017-01-18 21:45:34 UTC,fiat_deposit,"","","","","",Coinbase,205.38,USD,"","","","",205.38,"",MasterCard ********9599,"","",Bought Ethereum Using MasterCard ********9599
2017-01-18 21:45:34 UTC,buy,"",Coinbase,197.5,USD,"",Coinbase,19.43792413,ETH,205.38,7.88,USD,"",197.5,7.88,"","",c8d76871-47bc-53ae-b0ef-5963d56734dc,""
2017-01-20 02:29:22 UTC,fiat_deposit,"","","","","",Coinbase,10.69,USD,"","","","",10.69,"",Wells Fargo - Checking ******2498,"","",Bought Ethereum Using Wells Fargo - Checking ******2498
2017-01-20 02:29:22 UTC,buy,"",Coinbase,10.53,USD,"",Coinbase,1.0,ETH,10.69,0.16,USD,"",10.53,0.16,"","",0ba75d0c-956c-5a8a-8c57-b57169458df3,""
2017-01-21 14:59:13 UTC,crypto_withdrawal,"",Coinbase,0.00107965,BTC,0.4429291176,"","","","","","",0.5570708824,1.0,"","",1GHQ6SkPEcjS5Fy32ZqRgrgX2qF8j7WG86,967cf8696fd2f1daa92a528b49494e9e20230b6af9478dd842d26b43675089ba,Sent Bitcoin To Bitcoin address 1GHQ6SkPEcjS5Fy32ZqRgrgX2qF8j7WG86
2017-01-21 14:59:16 UTC,fiat_deposit,"","","","","",Coinbase,0.99,USD,"","","","",0.99,"","","",b698b7d8-f13a-545f-adfd-0bb13b6ceeeb,""
2017-01-21 20:07:12 UTC,crypto_withdrawal,"",Coinbase,0.00540564,BTC,2.2176773538,"","","","","","",2.7723226462,4.99,"","",1P3G28VsaqfpwvouZTwE5cVymwMovhgdhg,d404993efe0bf63bb0b3b376ff2c969b1da53e2adff7257a9c6608d931027df4,Sent Bitcoin To Bitcoin address 1P3G28VsaqfpwvouZTwE5cVymwMovhgdhg
2017-01-21 20:07:15 UTC,fiat_deposit,"","","","","",Coinbase,4.9,USD,"","","","",4.9,"","","",6d3bf030-4c68-507d-887f-a75e365c30e7,""
2017-01-21 20:58:56 UTC,fiat_withdrawal,"",Coinbase,5.89,USD,"","","","","","","","",5.89,"","",Wells Fargo - Checking ******2498,"",Withdrew funds To Wells Fargo - Checking ******2498
2017-01-22 01:20:03 UTC,fiat_deposit,"","","","","",Coinbase,11.16,USD,"","","","",11.16,"",Wells Fargo - Checking ******2498,"","",Bought Ethereum Using Wells Fargo - Checking ******2498
2017-01-22 01:20:03 UTC,buy,"",Coinbase,11.0,USD,"",Coinbase,1.0,ETH,11.16,0.16,USD,"",11.0,0.16,"","",8666b813-9c24-5156-b512-331d91ae155c,""
2017-01-22 23:25:11 UTC,sell,"",Coinbase,0.024,BTC,9.8460601319,Coinbase,22.08,USD,"",0.88,USD,11.3539398681,22.08,0.88,"","",701dc8a2-e8ce-5615-8353-6a8792d81a67,""
2017-01-22 23:32:39 UTC,buy,"",Coinbase,18.5,USD,"",Coinbase,1.70602041,ETH,19.24,0.74,USD,"",18.5,0.74,"","",29713b06-75d6-5667-80d5-0c8b02ecd752,""
2017-01-22 23:32:39 UTC,fiat_deposit,"","","","","",Coinbase,19.24,USD,"","","","",19.24,"",MasterCard ********9599,"","",Bought Ethereum Using MasterCard ********9599
2017-01-23 00:18:40 UTC,crypto_deposit,"","","","","",Coinbase,0.00199977,BTC,1.86,"","","",1.86,"","","",5ad9ed3c8251c35bd4ee433826e32ce7451cd25339765aab078da87f56a32a06,Received Bitcoin From Bitcoin address
2017-01-23 02:36:23 UTC,crypto_withdrawal,"",Coinbase,23.23420074,ETH,247.4024687039,"","","","","","",2.5975312961,250.0,"","",0xFa3840396976c28da3547541a7266De76a2451A4,8f8f64c49053d5635ddd841a13611b2abe1b0a35e0da4ea91002e0423bb9b50e,Sent Ethereum To Ethereum address 0xFa3840396976c28da3547541a7266De76a2451A4
2017-01-23 02:50:24 UTC,crypto_withdrawal,"",Coinbase,2.80112045,ETH,31.9120089599,"","","","","","",-1.8020089599,30.11,"","",0xFa3840396976c28da3547541a7266De76a2451A4,204ea494d14692b747712c60a22664dee82d914d9a283c05bfb7f1e30e57f352,Sent Ethereum To Ethereum address 0xFa3840396976c28da3547541a7266De76a2451A4
2017-01-23 04:48:53 UTC,crypto_withdrawal,"",Coinbase,0.21,ETH,2.4999527985,"","","","","","",-0.2499527985,2.25,"","",0xFa3840396976c28da3547541a7266De76a2451A4,87d983bf4b5c6a2abf9373bc5d14798191e5851c83702ef1292f2bd288413d7f,Sent Ethereum To Ethereum address 0xFa3840396976c28da3547541a7266De76a2451A4
2017-01-31 23:04:17 UTC,fiat_deposit,"","","","","",Coinbase,10.95,USD,"","","","",10.95,"",Wells Fargo - Checking ******2498,"","",Bought Ethereum Using Wells Fargo - Checking ******2498
2017-01-31 23:04:17 UTC,buy,"",Coinbase,10.79,USD,"",Coinbase,1.0,ETH,10.95,0.16,USD,"",10.79,0.16,"","",7055e470-a341-517c-930c-4589787c2db2,""
2017-02-13 21:30:36 UTC,crypto_withdrawal,"",Coinbase,2.0,ETH,22.3902173337,"","","","","","",0.2897826663,22.68,"","",0xFa3840396976c28da3547541a7266De76a2451A4,9b20a1630d0abf84bea36ede88d2aa687a5260e34ac50bf8f796e0f5f5b907a7,Sent Ethereum To Ethereum address 0xFa3840396976c28da3547541a7266De76a2451A4
2017-02-13 21:54:27 UTC,crypto_withdrawal,"",Coinbase,0.002,BTC,1.8600943581,"","","","","","",0.1499056419,2.01,"","",1AR5DnMgKCAKSjQYXmpUJZoRqZz7E4xZPL,18abd9d7cd5ddf0d3d4a2b89e713b497c55283fdf80ed716e051967242b74e83,Sent Bitcoin To Bitcoin address 1AR5DnMgKCAKSjQYXmpUJZoRqZz7E4xZPL
2017-03-29 15:12:38 UTC,fiat_deposit,"","","","","",Coinbase,10.15,USD,"","","","",10.15,"",Wells Fargo - Checking ******2498,"","",Bought Ethereum Using Wells Fargo - Checking ******2498
2017-03-29 15:12:38 UTC,buy,"",Coinbase,10.0,USD,"",Coinbase,0.1916827,ETH,10.15,0.15,USD,"",10.0,0.15,"","",a0253429-af01-54f4-bf1a-cd41023a0969,""
2017-04-03 18:05:16 UTC,crypto_deposit,"","","","","",Binance (Archived),0.0498895,ETH,2.3409454628,"","","",2.3409454628,"","","","",Short term ETH disposal from tax lot of 0.558579350000000 ETH acquired on 4/3/2017 10:05:16 PM via Buy.
2017-04-03 18:05:16 UTC,crypto_deposit,"","","","","",Binance (Archived),0.00805371,ETH,0.377901079,"","","",0.377901079,"","","","",Short term ETH disposal from tax lot of 0.558579350000000 ETH acquired on 4/3/2017 10:05:16 PM via Buy.
2017-04-03 18:05:16 UTC,crypto_deposit,"","","","","",Binance (Archived),0.0218614,ETH,1.0257939073,"","","",1.0257939073,"","","","",Short term ETH disposal from tax lot of 0.558579350000000 ETH acquired on 4/3/2017 10:05:16 PM via Buy.
2017-04-03 18:05:16 UTC,crypto_deposit,"","","","","",Binance (Archived),0.11624648,ETH,5.454588038,"","","",5.454588038,"","","","",Short term ETH disposal from tax lot of 0.558579350000000 ETH acquired on 4/3/2017 10:05:16 PM via Buy.
2017-04-03 22:05:16 UTC,fiat_deposit,"","","","","",Coinbase,26.21,USD,"","","","",26.21,"",MasterCard ********9599,"","",Bought Ethereum Using MasterCard ********9599
2017-04-03 22:05:16 UTC,buy,"",Coinbase,25.2,USD,"",Coinbase,0.55857935,ETH,26.21,1.01,USD,"",25.2,1.01,"","",3b2ce1f4-460a-5dbe-b53d-3342f53ab9b0,""
2017-04-04 00:58:46 UTC,crypto_withdrawal,"",Coinbase,0.559,ETH,26.2297379951,"","","","","","",-2.0997379951,24.13,"","",0xFa3840396976c28da3547541a7266De76a2451A4,028e4e2fca43257bab26396951f00c40876dd530203f86d1adf0609ed79594e6,Sent Ethereum To Ethereum address 0xFa3840396976c28da3547541a7266De76a2451A4
2017-04-04 21:18:31 UTC,crypto_deposit,"","","","","",Coinbase,28.8,ETH,1268.35,"","","",1268.35,"","","",1053250d9668cf50a1c505d522395448a8513d321fdaf95e782972d1ab7bd504,Received Ethereum From Ethereum address
2017-04-04 22:06:09 UTC,sell,"",Coinbase,28.8,ETH,1268.35,Coinbase,1255.42,USD,"",18.71,USD,-31.64,1255.42,18.71,"","",cf273693-58e9-54d7-8111-643d5cb52480,""
2017-05-01 18:35:25 UTC,crypto_deposit,"","","","","",Coinbase,0.00074402,BTC,1.08,"","","",1.08,"","","",30af0a671e2f622b3e942a96b1275635047b5105939386e634bbc736a7b1e145,Received Bitcoin From Bitcoin address
2017-05-01 18:44:25 UTC,crypto_withdrawal,"",Coinbase,0.19047817,ETH,8.9377325454,"","","","","","",6.1022674546,15.04,"","",0xFa3840396976c28da3547541a7266De76a2451A4,14150ab088af7503fabf8e000564b55a4ca7c738470d4f7c11d36e2957d09984,Sent Ethereum To Ethereum address 0xFa3840396976c28da3547541a7266De76a2451A4
2017-12-14 08:04:55 UTC,crypto_deposit,"","","","","",Coinbase,0.00084791,BCH,1.66,"","","",1.66,"",Bitcoin Cash address,"","",Received Bitcoin Cash From Bitcoin Cash address
2018-01-10 22:07:54 UTC,crypto_deposit,"","","","","",Binance (Archived),0.08192559,ETH,107.8029661513,"","","",107.8029661513,"","","","",Short term ETH disposal from tax lot of 0.113993510000000 ETH acquired on 1/11/2018 3:07:54 AM via Buy.
2018-01-10 22:07:54 UTC,crypto_deposit,"","","","","",Binance (Archived),0.03206792,ETH,41.6991990928,"","","",41.6991990928,"","","","",Short term ETH disposal from tax lot of 0.113993510000000 ETH acquired on 1/11/2018 3:07:54 AM via Buy.
2018-01-10 23:05:54 UTC,crypto_deposit,"","","","","",Binance (Archived),15.959,MIOTA,56.74445876,"","","",56.74445876,"","","","",Short term MIOTA disposal from tax lot of 40.959000000000000 MIOTA acquired on 1/11/2018 4:05:54 AM via Trade.
2018-01-10 23:05:54 UTC,crypto_deposit,"","","","","",Binance (Archived),25.0,MIOTA,88.891,"","","",88.891,"","","","",Short term MIOTA disposal from tax lot of 40.959000000000000 MIOTA acquired on 1/11/2018 4:05:54 AM via Trade.
2018-01-10 23:05:54 UTC,crypto_withdrawal,"",Binance (Archived),0.11624648,ETH,149.6078804727,"","","","","","",0.3921195272,150.0,"","","","",Bought 0.11399351 ETH for $150.00 USD
2018-01-11 03:07:54 UTC,buy,"",Coinbase,144.24,USD,"",Coinbase,0.11399351,ETH,150.0,5.76,USD,"",144.24,5.76,"","",07a0c35c-addd-5623-b969-08a1021bf259,""
2018-01-11 03:07:54 UTC,fiat_deposit,"","","","","",Coinbase,150.0,USD,"","","","",150.0,"",Visa credit ********8501,"","",Bought Ethereum Using Visa credit ********8501
2018-01-11 03:48:15 UTC,crypto_withdrawal,"",Coinbase,0.11524524,ETH,150.0587344364,"","","","","","",-8.0787344364,141.98,"","",0xFa3840396976c28da3547541a7266De76a2451A4,a4289e8d662cbb93072e15fdee421bf11529eea6c0d54a0820e76a629ee35754,Sent Ethereum To Ethereum address 0xFa3840396976c28da3547541a7266De76a2451A4
2018-01-11 10:46:18 UTC,crypto_deposit,"","","","","",Binance (Archived),0.01024355,BTC,150.0,"","","",150.0,"","","","",Short term BTC disposal from tax lot of 0.010243550000000 BTC acquired on 1/11/2018 3:46:18 PM via Buy.
2018-01-11 15:46:18 UTC,fiat_deposit,"","","","","",Coinbase,150.0,USD,"","","","",150.0,"",Visa credit ********8501,"","",Bought Bitcoin Using Visa credit ********8501
2018-01-11 15:46:18 UTC,buy,"",Coinbase,144.24,USD,"",Coinbase,0.01024355,BTC,150.0,5.76,USD,"",144.24,5.76,"","",bcee4d18-c93d-5aff-9f37-52670c37d7ea,""
2018-01-11 17:50:04 UTC,crypto_withdrawal,"",Binance (Archived),0.01024355,BTC,150.1667106518,"","","","","","",-16.7958945228,133.370816129,"","","","",Short term BTC disposal from tax lot of 0.010243550000000 BTC acquired on 1/11/2018 3:46:18 PM via Buy.
2018-01-11 17:50:04 UTC,crypto_deposit,"","","","","",Binance (Archived),42.957,MIOTA,162.2185191,"","","",162.2185191,"","","","",Short term MIOTA disposal from tax lot of 42.957000000000000 MIOTA acquired on 1/11/2018 10:50:04 PM via Trade.
2018-01-11 17:50:04 UTC,crypto_withdrawal,"",Binance (Archived),0.00010412,BTC,1.558488984,"","","","","","",-0.2028486664,1.3556403176,"","","","",Long term BTC disposal from tax lot of 0.025611210000000 BTC acquired on 8/29/2016 2:32:39 PM via Buy.
2018-01-11 17:50:04 UTC,crypto_deposit,"","","","","",Binance (Archived),0.00061733,BTC,9.240318906,"","","",9.240318906,"","","","",Short term BTC disposal from tax lot of 0 BTC acquired on 1/11/2018 10:50:04 PM via Reconciliation Event.
2018-01-11 17:50:04 UTC,crypto_withdrawal,"",Binance (Archived),0.00061733,BTC,9.0397860117,"","","","","","",-1.0021617583,8.0376242534,"","","","",Short term BTC disposal from tax lot of 0 BTC acquired on 1/11/2018 10:50:04 PM via Reconciliation Event.
2018-01-11 20:48:54 UTC,transfer,"",Coinbase,0.00084791,BCH,"",Coinbase Pro,0.00084791,BCH,"","","","",2.15,"",Coinbase,Coinbase Pro,coinbase_to_gdax,""
2018-01-11 21:26:16 UTC,transfer,"",Coinbase,0.01109146,BTC,"",Coinbase Pro,0.01109146,BTC,"","","","",148.59,"",Coinbase,Coinbase Pro,coinbase_to_gdax,""
2018-01-11 21:30:01 UTC,transfer,"",Coinbase Pro,0.01109146,BTC,"",Coinbase,0.01109146,BTC,"","","","",148.59,"",Coinbase Pro,Coinbase,gdax_to_coinbase,""
2018-01-12 11:22:16 UTC,crypto_deposit,"","","","","",Binance (Archived),0.00009066,BTC,1.2716643008,"","","",1.2716643008,"","","","",Short term BTC disposal from tax lot of 0.010693860000000 BTC acquired on 1/12/2018 4:22:16 PM via Buy.
2018-01-12 11:22:16 UTC,transfer,"",Coinbase,0.0106032,BTC,"",Binance (Archived),0.0106032,BTC,"",0.00048826,BTC,"",148.59,6.8423262223,"",18RGpbHyakz4oHehDpLTYGRhbrmRqeW9jA,528db4fb4de59d3979ea68890c1f26e53da7e7b0d33cf4c5624c914f412ea17b,Sent Bitcoin To Bitcoin address 18RGpbHyakz4oHehDpLTYGRhbrmRqeW9jA
2018-01-12 13:09:11 UTC,crypto_withdrawal,"",Binance (Archived),0.0106032,BTC,150.8751406908,"","","","","","",-8.6336368188,142.241503872,"","","","",Short term BTC disposal from tax lot of 0.010693860000000 BTC acquired on 1/12/2018 4:22:16 PM via Buy.
2018-01-12 13:09:11 UTC,crypto_deposit,"","","","","",Binance (Archived),28.876,MIOTA,97.58615324,"","","",97.58615324,"","","","",Short term MIOTA disposal from tax lot of 39.960000000000000 MIOTA acquired on 1/12/2018 6:09:11 PM via Trade.
2018-01-12 13:09:11 UTC,crypto_deposit,"","","","","",Binance (Archived),11.084,MIOTA,37.45826716,"","","",37.45826716,"","","","",Short term MIOTA disposal from tax lot of 39.960000000000000 MIOTA acquired on 1/12/2018 6:09:11 PM via Trade.
2018-01-12 16:22:16 UTC,fiat_deposit,"","","","","",Coinbase,150.0,USD,"","","","",150.0,"",Visa credit ********8501,"","",Bought Bitcoin Using Visa credit ********8501
2018-01-12 16:22:16 UTC,buy,"",Coinbase,144.24,USD,"",Coinbase,0.01069386,BTC,150.0,5.76,USD,"",144.24,5.76,"","",e555ff6a-6feb-5ace-b99a-571732451819,""
2018-01-12 16:23:47 UTC,transfer,"",Coinbase,0.01069386,BTC,"",Coinbase Pro,0.01069386,BTC,"","","","",144.94,"",Coinbase,Coinbase Pro,coinbase_to_gdax,""
2018-01-12 16:53:28 UTC,transfer,"",Coinbase Pro,0.01069386,BTC,"",Coinbase,0.01069386,BTC,"","","","",145.28,"",Coinbase Pro,Coinbase,gdax_to_coinbase,""
2018-01-12 18:07:22 UTC,crypto_deposit,"","","","","",Binance (Archived),0.00005239,BTC,0.7278433701,"","","",0.7278433701,"","","","",Short term BTC disposal from tax lot of 0.011522470000000 BTC acquired on 1/12/2018 11:07:22 PM via Trade.
2018-01-12 18:07:22 UTC,crypto_deposit,"","","","","",Binance (Archived),0.00205998,BTC,28.618873554,"","","",28.618873554,"","","","",Short term BTC disposal from tax lot of 0.011522470000000 BTC acquired on 1/12/2018 11:07:22 PM via Trade.
2018-01-12 18:07:22 UTC,transfer,"",Coinbase,0.0094101,BTC,"",Binance (Archived),0.0094101,BTC,"",0.00128376,BTC,"",145.28,19.8196249562,"",18RGpbHyakz4oHehDpLTYGRhbrmRqeW9jA,55b6c875c68518c14864665a462c4c11809c1593aa7e46977409ffdbc9cee28f,Sent Bitcoin To Bitcoin address 18RGpbHyakz4oHehDpLTYGRhbrmRqeW9jA
2018-01-12 18:07:22 UTC,crypto_deposit,"","","","","",Binance (Archived),79.0,XRP,153.29792,"","","",153.29792,"","","","",Short term XRP disposal from tax lot of 0 XRP acquired on 1/12/2018 11:07:22 PM via Reconciliation Event.
2018-01-12 18:07:22 UTC,crypto_withdrawal,"",Binance (Archived),79.0,XRP,153.29792,"","","","","","",6.78135842,160.07927842,"","","","",Short term XRP disposal from tax lot of 0 XRP acquired on 1/12/2018 11:07:22 PM via Reconciliation Event.
2018-01-12 18:32:31 UTC,crypto_withdrawal,"",Binance (Archived),0.0094101,BTC,131.4713838572,"","","","","","",-2.2705226552,129.200861202,"","","","",Short term BTC disposal from tax lot of 0.011522470000000 BTC acquired on 1/12/2018 11:07:22 PM via Trade.
2018-01-12 18:32:31 UTC,crypto_deposit,"","","","","",Binance (Archived),34.965,MIOTA,118.16386785,"","","",118.16386785,"","","","",Short term MIOTA disposal from tax lot of 34.965000000000000 MIOTA acquired on 1/12/2018 11:32:31 PM via Trade.
2018-01-12 18:32:31 UTC,crypto_deposit,"","","","","",Binance (Archived),7.992,MIOTA,27.00888408,"","","",27.00888408,"","","","",Short term MIOTA disposal from tax lot of 7.992000000000000 MIOTA acquired on 1/12/2018 11:32:31 PM via Trade.
2018-01-12 18:32:31 UTC,crypto_withdrawal,"",Binance (Archived),0.0000907,BTC,1.2600762295,"","","","","","",-0.0153126163,1.2447636132,"","","","",Short term BTC disposal from tax lot of 0.010693860000000 BTC acquired on 1/12/2018 4:22:16 PM via Buy.
2018-01-12 18:32:31 UTC,crypto_withdrawal,"",Binance (Archived),0.00205998,BTC,46.6309736109,"","","","","","",-18.3474070113,28.2835665996,"","","","",Short term BTC disposal from tax lot of 0.011522470000000 BTC acquired on 1/12/2018 11:07:22 PM via Trade.
2018-01-21 19:15:45 UTC,crypto_deposit,"","","","","",Binance (Archived),0.00815895,BTC,99.1797170826,"","","",99.1797170826,"","","","",Short term BTC disposal from tax lot of 0.008226430000000 BTC acquired on 1/22/2018 12:15:45 AM via Buy.
2018-01-21 19:15:45 UTC,crypto_deposit,"","","","","",Binance (Archived),0.00006748,BTC,0.8202829174,"","","",0.8202829174,"","","","",Short term BTC disposal from tax lot of 0.008226430000000 BTC acquired on 1/22/2018 12:15:45 AM via Buy.
2018-01-21 19:37:53 UTC,crypto_deposit,"","","","","",Binance (Archived),33.966,MIOTA,102.1442535,"","","",102.1442535,"","","","",Short term MIOTA disposal from tax lot of 33.966000000000000 MIOTA acquired on 1/22/2018 12:37:53 AM via Trade.
2018-01-21 19:37:53 UTC,crypto_withdrawal,"",Binance (Archived),0.00815895,BTC,99.1797170826,"","","","","","",-4.4805794016,94.699137681,"","","","",Short term BTC disposal from tax lot of 0.008226430000000 BTC acquired on 1/22/2018 12:15:45 AM via Buy.
2018-01-21 19:37:53 UTC,crypto_withdrawal,"",Binance (Archived),0.0000524,BTC,0.6369713229,"","","","","","",-0.0288921187,0.6080792042,"","","","",Short term BTC disposal from tax lot of 0.011522470000000 BTC acquired on 1/12/2018 11:07:22 PM via Trade.
2018-01-22 00:15:45 UTC,fiat_deposit,"","","","","",Coinbase,100.0,USD,"","","","",100.0,"",Visa credit ********8501,"","",Bought Bitcoin Using Visa credit ********8501
2018-01-22 00:15:45 UTC,buy,"",Coinbase,96.16,USD,"",Coinbase,0.00822643,BTC,100.0,3.84,USD,"",96.16,3.84,"","",5798c63d-cf42-5beb-8454-000b942ce86c,""
